code,sample,dream
"
#0087",college_women,"I was apparently visiting another college. I don't know which one or why. For some reason I was in one of the dormitories, trying to find out what the rules were regarding late nights. Nobody seemed to be around. Finally, I found a girl who was sleeping but who awakened as soon as I came into her room. I apologized for waking her and asked her about the late nights. I don't remember what her answer was, but somehow it came out that this dorm was named M. H., at which I was very pleased, since that is the dorm I live in. As I was leaving her room, I remembered that I had her scissors in my hand (I don't remember why). I took them back, assured her I hadn't meant to steal them, and went out. (I think that this was only a small part of a much longer dream, but I can't remember the rest of it."
"
#0100",college_women,I found myself in a room alone. Water was flowing from walls and I was trying desperately to stop the water with my fingers.  Scene changed and I found myself standing alone holding my pinkie ring broken in two in my palm.  Scene changed again and my mother and I were outside a bar. Two dimly-seen men were fighting and I was doing my best to cross the street and get mother away from harm.
"
#0101",college_women,"I was at a house party. An old boyfriend of mine was there. We were playing games in one room. He was with another crowd in another room. There was a commotion and a man lay dead on the floor. My old boyfriend lay down on a bed in one of the bedrooms and felt miserable. I tried to comfort him. Two boyfriends of his tried to talk him into going to a very good show in town. I talked to him again but it didn't look as if he were paying any attention to us. The two fellows and myself started to the show. As we walked along the street, he caught up to us, handed me a bunch of pansies and said ""Here's a dollars' worth of posies."" He took my arm and we all walked on together."
"
#0103",college_women,There were two girls and myself sitting around a table in H-- Hall. We were watching a fellow and girl come down the steps. Each of us knew the fellow and one by one we told each other of our experiences with him. Each story was similar to the other. There was a fourth vacant chair and we expected the girl he was with to fill it.
"
#0107",college_women,"My shoes needed soles but since I couldn't find a shoemaker, I used money (paper bills) instead. I put on an old, worn-out $5.00 bill on my left shoe but found it was so weak, I was afraid to walk on it."
"
#0108",college_women,A friend of mine (male) came over and came into the bedroom with me where I was sitting on the bed and listening to the radio. The next thing I knew he was stretched out under the covers of the bed fast asleep and I was lying fill length along the bed but above the covers.
"
#0109",college_women,I dreamt I was sitting in my living-room when a married girlfriend of mine came in with a date who was not her husband. She seemed very gay and happy and said she was going to go out with this fellow just as a lark.
"
#0115",college_women,"It was raining in my dream and I was coming out of the hospital going over to another building. I remember that as I was running across I noticed the long line of people standing in line, out in the rain waiting to be seen by the doctor in the out patient Dept. Some were older men and women, and as I entered the hospital I remember feeling upset and despairing about seeing them out in the rain, waiting patiently. I thought that certainly other arrangements could be made for these people."
"
#0116",college_women,"I went to the store to buy a newspaper, which cost three cents. Had a five dollar bill with me, but I needed the change. The person who waited on me apparently couldn't make change for he keep over charging me. I keep insisting that the paper was only three cents, that he wasn't giving my correct change. I was growing impatient as I was suppose to have an appointment at 8 o'clock. I don't remember who the appointment was with however. It was growing very late, and getting dark outside. I remember calling to another person, apparently the owner of the store to come over & show this boy how to count. He told me the reason for the mistake was that you had to pay for the service besides the paper, and so it really wasn't a mistake at all. The last thing I remember is that I left the store without the paper, already late for my appointment and very upset."
"
#0122",college_women,"In this dream I was working on two huge size pieces of paper. They were so large that I couldn't reach across them put I had to walk around them. They were both mapped out in various squares. It seemed as if I was trying to make an assignment of patients and I kept placing numbers in the squares, but then would erase it and place it in another place. Others around seemed to be giving me advise where I should assign various people. I began to get discouraged, I had holes in the paper from erasing so much, and it seemed as if I couldn't make the assignment complete in time it should be."
"
#0139",college_women,As a project in one of my classes I had to make some candy which I put in a tin box and then I wrapped the box in striped wrapping paper... The next moment I was at the flower show and there I saw a display of the candy boxes which my classmates and I had wrapped. My box was all covered up by the others. The others were more beautifully wrapped so I took mine and unwrapped it in preparation to re-wrap it. Then I woke up.
"
#0141",college_women,"I was walking on E--- at W--- Park at night. I had on my bridesmaid dress (which I wore at the wedding of my sister). Suddenly a strange man flashed a light in my face and laughed. Then he started chasing me and I ran into a dingy bar. There were many men at the bar and it was very noisy and smoky. I didn't know what to do.... Then I was in a designers shop. My gown had been ruined in some way and three women were making me a new one just like my old. I kept worrying about the time because it seemed as if I should be at the wedding. No one would let me call my parents and I didn't know where I was....  Then I was with my cousin (female-age 5) in a small room--I don't know where. I left and went outside to a parking lot where I found my parents (both 45 yrs. old). Then my cousin came running out and she was crying very hard because she thought she had gotten separated from me. I felt very bad for having left her....  Then a friend of mine (female-age 20) appeared in my newly made dress. I was disappointed because it was a dull brown whereas the original had been a beautiful orange color. I said ""Do you get to have the dress after the wedding?"" She said ""Yes."""
"
#0143",college_women,"I was in a car with my father and mother (both 45 years old) and one other person (perhaps my sister age 22 but I am not sure). We were passing a golf course. Suddenly my father started driving faster, explaining that he had seen a man just drive (hit) his golf ball and he was afraid it might hit one of the windows in our car. The next thing I knew was that the ball had come through the rear window and it hit me on the collar bone which immediately swelled up. Also much glass lodged in my neck. We started home so that I could be doctored. We had only gone a short distance when the bump on my collar bone disappeared and I seemed perfectly well....  Then I came out of a house (not my own home). My friend's mother (age 50) was waiting for me in a big blue car. The car was filled with many other people... Then I was at a party (I don't know where)."
"
#0146",college_women,"My friend (age 23-male), my mother (age 45), my sister (age 22) and I were in my friend's car on B--- Road in front of the M--- Administration Building. We went around the corner on F--- Drive. I was driving. Then suddenly my mother was driving and I was very angry because I wanted to drive. She drove around the corner of F--- Drive onto E--- Ave. Then, again, I was driving. I drove as far as the Church of the C--- and then I stopped, having remembered that there was something at home which I needed. I wanted to drive my friend's car home by myself (30 miles). Everybody was trying to find a solution and it was all very confusing... The scene changed to a room in a dormitory (I don't know where). There were three girls in the room and my friend and I were standing in the doorway talking to them. The next thing I knew my friend was pulling me along the floor by the leg. I got up, ran outside, got in his car and drove off into the sky (as if I were in a rocket ship). Then I became a bystander in the dream and I saw my friend frantically pleading for me to come back. I seemed as if I were going to some distant place to which he could not get."
"
#0150",college_women,"I was standing with my family (mother & father, ages 45 and sister, age 22) and several other unknown people by the runway of an airfield. We watched a very large airplane take off. The crewmen were sitting on the wings and not until the plane had taken off from the ground did they begin to crawl into the plane in single file. It seemed very dangerous. The plane did many loops and turns in the air and I was afraid it would crash. Then there were many miniatures of this large plane which would dive into the ground and then bounce back up into the air. Next a group of jet planes flew by. One of them crashed by my sister. The plane when it crashed turned into a toy airplane. Nevertheless everybody ran except my sister. The next thing I knew, my sister was blind and I felt that it were my fault. I felt very bad but I do not know why."
"
#0158",college_women,"In this dream I remember hearing the news that my mother had died. I remember feeling very upset, at the news. I don't know who told me the news, but soon after I heard it, the telephone rang and I heard my father's voice. He called to tell me about my mother. When he spoke to me, I felt very sorry for him and suddenly pitied him because he would be alone. When he spoke of my mother, I thought of her and at this point had an intense emotional outburst of tears. Later I remember sensing a fear and dread of going to my mother's funeral. I did not wish to see her dead. I then visualized my mother's face before me with her eyes closed. It was very vivid."
"
#0174",college_women,I was sitting in the bathtub in the dormitory. A girl friend of mine from home came and we were talking. I ask her about another friend from home. The friend told me the other girl was not pinned anymore. I was very surprized. Just then the other girl came in and she had just washed her hair and it was quite wet.
"
#0175",college_women,"I had a date with a boy that I used to date about a year and a half ago. I did not want to be with him because I was afraid the boy I am pinned to would see me. We were driving along the road on the way to a dance. When we finally arrived, a girl whom this boy had been dating recently was standing outside waiting for him. I was very relieved. We did not go into the dance but got back into the car again. The other girl sat in the middle. I was impressed by the wierd atmosphere. It was very windy and misty."
"
#0180",college_women,"I was the only girl in a room full of men, none of whom I knew. They were all trying to draw my attention, but I was afraid of them. There was one colored man in the room, and I felt drawn to him. He seemed to be my only friend, and I left the room with him. I walked by his side feeling very secure."
"
#0182",college_women,"Two girls, one a close friend and the other an acquaintance, and I decided to go to Florida. Both of them are my age. When we arrived, the close friend insisted on going to a very expensive hotel where we paid in advance. Then we discovered we had only $11 left between us. I was furious with the girl for putting us in such a spot."
"
#0203",college_women,"I was living with my family in a neighborhood of large, impressive houses. The neighbors were not very friendly. I was standing on a lawn feeling lonely when my aunt appeared. She is about forty. Suddenly, down the street, rode my grandmother on a bright red motor scooter. She was riding very fast and going around corners all the time. My aunt just smiled indulgently. Then a group of girls came up to me and said they had heard my father was a famous baseball player and they wanted to meet him. I took them to a large building. We went inside and walked through a lot of narrow passages and came to two swinging doors. We opened them and saw a gymnasium and some men playing basket ball."
"
#0205",college_women,"An experiment of atomic energy was being made. My father was conducting the test and I was watching. My aunt was to be a victim, along with a young man. They were sent downstairs into 8 dungeon and sealed in. Upstairs, Father threw some switches and an explosion sounded. They were supposed to receive a shock downstairs. A couple of men went down to see how the experiment came out. They brought the victims upstairs. They were still alive, but my aunt's hair had turned gray and she was haggard looking. I was afraid to look at her."
"
#0217",college_women,"I dreamt that I was riding along in a big car, only it wasn't exactly a car. I was sitting in a big easy chair which had with it a long footrest. In the so called car with me was my aunt who was sitting in a chair similar to mine. Still another person was present. At one moment she resembled a classmate of mine, and yet the next moment she resembled no one T knew. I recall the sensation that we were driving over very flat and uninteresting country and that we all couldn't figure out why we didn't stop occasionally. Finally we stopped in front of a huge building of some kind, probably a gas station a little distorted. Everyone got out of the car but me, yet I recall I was the one who wanted to stop the most. Finally I was in the ladies room, the others having returned to the car. Right in the middle of the room, there was ?. big bed. I remember saying to myself that I mustn't lie down even for a minute because the others would worry. However, the next thing I remember was waking up with that awful feeling that they had gone without me, and that I couldn't comb my hair and that I was a wreck in general. At that moment I woke up."
"
#0231",college_women,"I dreamed that I was riding in an automobile with a friend of mine. We were riding out in the country where my house formerly was. We turned into our driveway and as we approached the house, another car was following us. This car was driven by an old friend of the family and with him was his sister. My Mother, at the time, was sleeping in her bedroom, as it was late at night."
"
#0233",college_women,"I dreamed about my first boyfriend whom I had gone with in high school. The dream is rather vague, but he and I were walking along the street in A We were going to get his car which was parked near his father's gas station. He seemed to be much more attentive to me and very much pleased to have me with him. We met some other people but they are too vague for me to be able to identify them."
"
#0239",college_women,"I dreamed about a young married couple whom I have known for a long time. They came to see us at our home. Although the home was ours, it resembled my Uncle's home in C___ and yet the dream seemed to take place in C ___.. They drove up in a Model A Ford & parked it in the front yard. We were in the living room talking when another Model A Ford drove up & in it were my sister & a friend of mine. I went out in the front yard, got in this couple's car, and started to talk to my sister. D___ my sister, asked me if I wanted to go to a play with J. She said that she and her husband weren't going. I realized that I would have to go with him alone, so I refused. Then they drove away and the wife came out in the yard. She seemed perturbed at my getting into their car, so she got into the car and backed it away. The car then suddenly changed into an old-fashioned bicycle. It was at this time that I felt antagonistic towards this couple."
"
#0240",college_women,"This dream took place in a large room which is unfamiliar to me. In this room was a long table and on it were some presents and some graduation pictures of me. The room was filled with people - neighbors, friends and relatives. Two of my neighbors, who are 8 and 12 years of age, were standing near the table passing out my graduation pictures to anyone who wanted them. I was trying to stop them and at the same time I was wondering how I was going to pay for them. The gifts on the table were for me. I opened them and each gift seemed to be a deck of playing cards except the last one I opened. It was yarn for knitting, knitting needles, and all the necessary implements needed to knit socks. I remember thinking to myself that now I would have to learn to knit."
"
#0245",college_women,"I went to a school because I wanted to be a teacher and I thought I would have to speak to a teacher I had when I was in 3rd grade, to get a position. I found her in a library. It was a very elaborate, comfortable library and the class of little children were climbing all over the furniture. When I came in the children climbed all over me, and the teacher was trying to talk to me but the children kept interrupting."
"
#0246",college_women,"I was taking an examination in writing letters which were to be sent to W----. My grandmother and a friend with whom I am only slightly familiar, female named C----, were in the examination. However, the city and government were so corrupt that the letters didn't get through. C---- was particularly in a state of confusion and I was struggling to get to an emergency post office of which several were set up in case important letters had to get through to W----."
"
#0250",college_women,I was in a large modern hamburger stand. I was waiting for a bus. I saw several buses outside that would pull around a circular plot of grass in front of the store. I stood at a tall window looking out of the window. While waiting I ate potatoe sticks and fritos (both of which I do not care for). My arms were full of books and I found it difficult to eat.
"
#0253",college_women,"I dreamt that I was descending the stairs in an unfamiliar hallway. At the bottom a friend, (male, age 26) was waiting. I had something in my hand which caused me to be very embarrassed. At the foot of the stairs there was a small maple chest of drawers in the top drawer of which I deposited the article that was embarrassing me. (I don't know exactly what it was.) The man turned me around and kissed me. At first I felt rigid and then I felt as if I were melting and floating away on a cloud."
"
#0306",college_women,I was in a dark forest picking flowers but I soon was bored so I laid down on the soft green grass. A black and white striped horse broke through the window and carried me away rather roughly.
"
#0308",college_women,"I was in a large ballroom with many couples. We were all sitting around talking when N., my boyfriend who is 20 years old, said some nasty remarks. I was very surprised and I felt hurt all evening. The next thing I remembered I was in my house talking to L., N.'s friend, trying to inquire if N. meant what he said. He said he didn't know. The next thing I dreamed we were broken up. I went around asking everyone who I saw, ""Is it true?"""
"
#0313",college_women,"That my roommate confided in me that during the summer she met A. - he was searching for me and seeing her instead, he captured her. (Wearing a long black cape, he choked her and carried her away.) He confined her for the summer in his harem (He is a Moslem) where she was cruelly treated and given only ice cream to eat. He had many women & their boy children in this low ceilinged structure (the harem) and periodically went on forays for more captives. My roommate learned to love A. and since she was jealous of his love for me - she told me of the summer to arouse my jealousy. I accepted the recital, quite calmly."
"
#0356",college_women,"I dreamed I was with a crowd of school girls getting in a bus. Just then a very tall man came up in back of me and tried to pick me up. I got on the bus just in time before he could catch me, although I don't remember him chasing me. All at once, we were driving down Lake Avenue in front of my house and I felt if I could just get off here at my house I would be safe."
"
#0364",college_women,I dreamed I was driving down town to get a book I had left in some store. One of the girls in my History of Art class rushed up to the car and gave me the book. (girl about 20) The next thing I knew I was in a large room full of people I seemed to know. An old friend that I had gone through high school with was telling everyone how to cut their hair.
"
#0368",college_women,J--- (engaged to M 22) and I were on our way E--- Beach but first we had to meet several women (F 60-70). These older women were sitting on a sofa with their heads cut off. We went up some stairs and got into a roller coaster car. The tracks were covered with small fire crackers which started to go off when we came to the end of the ride. We got back in the car and some-one called to us and asked us to take a boy we had never seen before to the doctor. Several other young people (20-25) got into the car and I woke up.
"
#0371",college_women,I dreamed I was riding my bike up a steep hill. The path I was following became very narrow and then suddenly my bike fell over the cliff and I started to loose my balance. When I awoke I was trying to grab something to hold on to.
"
#0372",college_women,I dreamed I was in the room of an old house which over looked a wide river. The river was very high almost to the edge of the wide windows facing the water. I went out of the house and got into a boat and sailed back and forth in front of the wide windows. Suddenly there was thunder and rain. The house melted away. The woman who owned the house--(the mother of one of my friends) drove her car to the river's edge and I got in. There was another clap of thunder and I awoke.
"
#0376",college_women,"This is only a snatch of a dream. I was walking down S--- Avenue at dusk when a colored man jumped out of a doorway and pulled me back into the shadows of a dime store's entrance. He began to molest me while I fought wildly and called to the passers-by for help. The people walking past were people I knew, but I cannot identify them. They looked at me as if nothing was happening, waved and smiled, and walked on."
"
#0387",college_women,"I dreamed I was upstairs in H--- Hall making a phone call to a girlfriend. (She is 20) At times I seemed to be in a bedroom & at other times the hall was being used as a dining hall. There was a large, long table at which many M--- girls were sitting. I kept talking on the phone & the girls at the table kept calling for me to come eat. Then the scene was again changed to a bedroom & I was still on the phone. All at once some girl came bounding through my room on her hands & feet, like an ape. I thought she was just kidding & then another girl stuck her head in the door & and said ""Did you see her?"" I told her I had & asked if she were just being silly. She said, ""No, she's always like that!"""
"
#0396",college_women,"I was walking along a path which ran beside a broad, calm river. Then the path turned away fromthe river and ran through a thick forest. The forest began to grow thicker and darker. I was frightened, but something compelled me to walk on. Suddenly, I was out of the woods and standing at the edge of a large open space. In the middle of this clearing I saw a beautiful house. It was a large, white house with blue awnings at the windows, and three white pillars at the front. Hundreds of yellow roses were climbing around the pillars. It was a lovely scene, but it was very frightening. I wanted to go back, but something seemed to draw me toward the house. Then, as I came close to it, the whole house began to tremble and collapse. I turned and began to run toward the forest. Before I reached it, I awoke. Even after I awoke, it took a long time to get rid of the feeling of terror."
"
#0404",college_women,"We were still fighting the Germans and I was still living in W. It was winter and everything was covered with snow. German planes began to fly over the town and I ran down to the basement to hide. Then I could tell by the sound that the German planes had gone and American planes had taken their place. I ran outdoors just in time to see one of our planes begin to fall. It crashed in our front yard and began to burn. Then I saw that the pilot was one of my friends (M-27). I tried to help him out, but before I could get there the crane disintegrated and I was standing in the snow alone."
"
#0407",college_women,"I dreamed that my home was a huge mansion, composed of five floors. My room was on the third floor, and was very small. I remember seeing that everything in it was pink, and it seemed to be long and very narrow. In the dream I found that my sister had a room on the fourth floor which was very huge and done up completely in green. I walked from room to room on the fourth floor, and found that many of my old friends were living in them. Who these friends were is a bit hazy now, but they were people I knew a long time ago. I was very jealous of my sister's room, and I thought it was horribly unfair of my mother not to let me have the room. I thought she should let us alternate using the room. This much is all I can remember."
"
#0410",college_women,"This dream was a very disconnected one. It began when I was riding in a car with my girlfriend's boyfriend. The two of them had had a fight. It seems that we drove for hours and hours. Later I got out of the car and started walking. A middle aged man picked me up and put my suitcase in the back of the car(!!) He kept giving me sly looks and I realized he was going to kidnap me. Five young men came down the street and walked straight towards me. I said, ""Don't you dare take another step!"" and they stopped. The next thing I knew I was in A------. I was walking with someone who was saying something to the Eskimos. It seemed that he was saying ""oogie woogie"" or some similar phrase such as that! I remember it was very cold and there was a sharp wind. I remember seeing a great deal of snow."
"
#0414",college_women,"In this dream my father was going to take a group of us for an airplane ride, including my sister (23), my mother (52), a girlfriend of my sister's (23), and myself. Much of my dream seemed to be composed of an argument I was having with my mother. She wouldn't allow me to go in the plane, and it seemed to have something to do with the kind of shoes I had on! She told me that if I went I would be killed. I remember feeling that I was being persecuted, and my sister was allowed to go while I wasn't.  Suddenly the scene changed and I was at college at M. University. I was walking on the fourth floor of a dormitory, and the floor was broken up into big pieces which were revolving. Someone came up to me and asked me who turned on the switch to have the floors revolve. This was connected with the airplane ride, as someone said that the reason the floor was revolving was because there was an airplane someplace near by."
"
#0417",college_women,I had a job in some sort of plant (factory) and I worked at a machine which resembled a cream separator used on small farms. I cannot recall the operation of this machine at all. The only incident I recall is that I was angry and in this anger the only way of release that I seemed to have was to squash slices of ripe tomatoes over the parts of the machine which stuck out. This act seemed to be a retalitory act.
"
#0435",college_women,"I dreamt that I was to attend a Spanish class at 7:30 at night. I had to go to my room in the dormitory to get my books. I remember taking an escalator to the 2nd floor and meeting a girl on the escalator. I told her to wait for me. When I got to the 2nd floor, I opened the door to my room and discovered it was a classroom. I was very confused. I tried some of the other doors on the floor, but they were all locked. I decided to take an elevator down to the first floor, but here the dream gets rather confused. I seemed to be swinging through hoops. I remember thinking it was like some ride at E. Beach."
"
#0450",college_women,"I remember walking out of a house and continuing my walk down a main thoroughfare. A man (short, middle-aged, shabby) unfamiliar to me is following me. He has something wrapped in newspaper which he wants to sell me. He says something to me and I remember the word ""cotton."" I tell him ""no"" and cross the street. He follows me. Then somehow he gets ahead of me. I throw a glass at him, but miss. I see a group of people gather around a woman who is stretched on the ground. A young woman is crying: She says her mother's hand has been cut off. I draw close and see a huge scar across the hand of the woman. There is no blood. I keep repeating ""I did it, I did it."" I was awakened abruptly by my father at this part--it was 7:10 in the morning."
"
#0459",college_women,"I was in a brightly lighted room in the dormitory with about 10 other people (2 boys). There was an operating table in the middle of the room. Two men walked in the door wearing white coats like doctors wear and carrying huge bags. They were tree surgeons and they had come to operate on a tree. They said they didn't need to wear gloves or use an anesthetic because the tree wasn't really an alive human being. Then they took out a saw and one of them began to saw off slices of the tree supposedly, but it was a human foot. They sliced off pieces just like meat (only it looked like cork). I said I couldn't stay and watch and I ran from the room. One of the fellas said he was staying because he thought it was interesting."
"
#0461",college_women,"I saw H___ A___ run out of a department store in A___ with his arms loaded down with oranges, pears, apples and grapes. He kept dropping fruit all over and he also dropped a toy truck that had a great number of little white blocks in it. The blocks fell out all over the floor and two clerks one a girl and the other a younger boy stopped to pick them up. The girl just stood and counted them while the boy put them in the truck. Among the blocks was a spool of thread. I was watching the proceedings and I was scared that they were going to discover the spool of thread. For some reason if they saw the thread H__ would be in some kind of danger. But the boy thought the spool was another block and put it in the truck. I was relieved and I walked away."
"
#0488",college_women,"An old friend of mine who is 1 1/2 yrs. younger than I came to my house one day, and I was very surprised to see that she was no longer ""pinned."" She has always been an exceptionally pretty girl and she looked even more beautiful this day. When I asked her if she and her boyfriend had quarreled she smiled wryly and took off her skirt. I looked at her standing in her slip and commented that she had put on weight. She laughed and said that she was going to have a baby; and did I blame her now for breaking up with her boyfriend."
"
#0503",college_women,"I dreamed that I was in a doctor's office supposedly receiving a physical examination. However, the doctor merely proceeded to tell me a series of stories and anecdotes which I didn't pay much attention to since I was paying him to examine me. Then he began questioning me on material he had talked to me about, but since I had been bored and had paid little attention, I couldn't answer any of the questions. Since there were a few other people present, we must have been having the consultation in his outer office."
"
#0505",college_women,"I dreamed that I was very anxious to buy a ticket to a certain theatrical production which was being presented. However, after standing in line for a long while I discovered I had no money with me and I was quite distressed about it. One of my friends refused to lend me the money, but another girl whom I knew who was also in line, offered to get the ticket for me. I remember specifically asking her to get tickets in section 999."
"
#0506",college_women,"I dreamed that the Society for the Blind had given my grandfather, who lives with us, two tickets to the opera M-- B--. They were not good seats for seeing the performance, but they were excellent for a blind person who could only hear the music. I very eagerly offered to take my grandfather, so that I could attend the performance because I was very much interested in music."
"
#0507",college_women,"I dreamed that I was watching some sort of group dancing on a large green lawn. The girls wore old-fashioned, brightly colored costumes and appeared to dance in pin-wheel formation. The day was very warm and sunny, and toward the end the dancers seemed to be slightly fatigued--their formations were not as precise and they became more jolly and boisterous. There seemed to be a large group of spectators in a grandstand watching the performance; I was watching also, but I was along the side somewhere."
"
#0520",college_women,"I dreamed I was walking in the country, over gently rolling grassy plains. I was absorbed in thought and was quite surprised when I realized how dark it had become. I started back. Then I heard my name being called very softly. I tried to run in the direction of the man's voice (I did not recognize the voice.) Just as I seemed to be getting closer to the voice, it stopped and came from another direction. I started to run again; each time I thought I was near the source of the voice, it came from another direction. Then I was running about wildly. My clothes and hair were being blown about by the wind. I was sweating profusely and wiped my face on my forearm as I ran. Soon, I became frightened and exhausted. I sat down on a rock and cried and cried. When I raised my head from my arms, it was black out and I couldn't see anything. The voice stopped while I was crying."
"
#0524",college_women,"My mother and I were walking on E1-- St. between E-- and C--. There were many small shops on the street selling millinery and ladies' clothing. All the stores were closed. (This did not seem unnatural; it must have been Sunday.) As I looked in one store, I saw a woman putting hats into a drawer. As we passed, she looked up and I was surprised to recognize her. (We had lived on the same street for 10 years.) I have not seen her for 2 years. She beckoned to us to stop. Then she opened the door and let us in. We talked and she told me she was selling Bissell carpet sweepers and could get us a good discount. Mother said to me confidentially that maybe she ought to buy a Bissell at a discount instead of the electric sweeper she had been wanting. I remember that all the while we were talking, I kept looking at her and thinking how attractive she had become."
